arquivo,diretorio,nome_fonte,descricao,tamanho_bytes,num_registros,ultima_atualizacao
sim/declaracoes_de_obito_causas_externas_cid10.parquet,sim,"SIM - Causas Externas, CID-10 (1996-atual)","Óbitos por causas externas (acidentes, violência), era CID-10.",177699940,4027046,2026-07-14 10:22:12
sim/declaracoes_de_obito_causas_externas_cid9.parquet,sim,"SIM - Causas Externas, CID-9 (1979-1995)","Óbitos por causas externas (acidentes, violência), era CID-9",26053870,1543552,2026-07-14 10:03:08
sim/declaracoes_de_obito_cid10.parquet,sim,"SIM - Declaração de Óbito, CID-10 (1996-atual)","Óbitos por todas as causas, era CID-10.",1506198007,34277407,2026-07-14 09:19:36
sim/declaracoes_de_obito_cid9.parquet,sim,"SIM - Declaração de Óbito, CID-9 (1979-1995)","Óbitos por todas as causas, era CID-9.",227852739,13693256,2026-07-14 09:19:31
sim/declaracoes_de_obito_fetais_cid10.parquet,sim,"SIM - Óbitos Fetais, CID-10 (1996-atual)","Declarações de Óbito Fetal, era CID-10.",34886545,965292,2026-07-14 10:40:30
sim/declaracoes_de_obito_fetais_cid9.parquet,sim,"SIM - Óbitos Fetais, CID-9 (1979-1995)","Declarações de Óbito Fetal, era CID-9.",13573387,837980,2026-07-14 10:25:40
sim/declaracoes_de_obito_infantis_cid10.parquet,sim,"SIM - Óbitos Infantis, CID-10 (1996-atual)","Declarações de Óbito Infantil, era CID-10.",55242581,1355178,2026-07-14 10:49:47
sim/declaracoes_de_obito_infantis_cid9.parquet,sim,"SIM - Óbitos Infantis, CID-9 (1979-1995)","Declarações de Óbito Infantil, era CID-9.",34478694,2147409,2026-07-14 10:34:28
sim/declaracoes_de_obito_maternos_cid10.parquet,sim,SIM - Óbitos Maternos (1996-atual),Declarações de Óbito Materno. Só existe a partir de 1996 (sem era CID-9).,2910583,49514,2026-07-14 10:27:21
sim/declaracoes_de_obito_residentes_exterior_cid10.parquet,sim,SIM - Mortalidade de Residentes no Exterior (2013-atual),Brasileiros falecidos no exterior. Só existe a partir de 2013 (sem era CID-9)..,349786,4885,2026-07-14 10:28:32
sinan/acidente_por_animal_peconhento.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",112892918,4280892,2026-07-19 13:29:46
sinan/acidente_trabalho_grave.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",125942406,3469737,2026-07-16 07:32:52
sinan/acidente_trabalho_material_biologico.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",38588391,1101557,2026-07-16 07:22:53
sinan/aids_adulto.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",14823668,682216,2026-07-16 06:50:37
sinan/aids_crianca.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",358484,9642,2026-07-16 06:50:43
sinan/antraz.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",298129909,12360951,2026-07-16 08:10:06
sinan/botulismo.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",128731,599,2026-07-16 08:10:12
sinan/cancer_relacionado_ao_trabalho.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",501666,12766,2026-07-16 07:32:58
sinan/chikungunya.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",61602373,2478869,2026-07-16 06:04:31
sinan/colera.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",11335,3,2026-07-16 08:10:15
sinan/coqueluche.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",8033965,169114,2026-07-16 07:07:57
sinan/dengue.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",704988096,29880075,2026-07-16 05:55:39
sinan/dermatose_ocupacional.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",523024,12584,2026-07-16 07:33:05
sinan/difteria.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",129963,1142,2026-07-16 07:06:51
sinan/doenca_de_chagas_aguda.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",4014681,87687,2026-07-16 06:58:36
sinan/doenca_de_chagas_reacao_transfusional.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",110439,2055,2026-07-16 08:28:07
sinan/doenca_exantematica_suspeita.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",11338700,252599,2026-07-16 08:25:19
sinan/doenca_pneumococica_invasiva.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",318471,7096,2026-07-16 07:06:48
sinan/esporotricose.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",414296,32492,2026-07-16 08:28:20
sinan/esquistossomose.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",5716832,169721,2026-07-16 06:59:25
sinan/febre_maculosa.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",4264111,79713,2026-07-16 07:19:26
sinan/febre_tifoide.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",711809,9502,2026-07-16 08:11:02
sinan/hanseniase.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",40540215,1024957,2026-07-16 06:48:42
sinan/hantavirose.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",2034028,24594,2026-07-16 08:10:54
sinan/hepatites_virais.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",21727293,664654,2026-07-16 06:55:10
sinan/hiv_adulto.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",15234992,539517,2026-07-16 06:52:23
sinan/hiv_crianca.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",155232,2242,2026-07-16 06:52:27
sinan/hiv_gestante.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",797626,68140,2026-07-16 06:52:36
sinan/hiv_outro_perfil.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",3076774,130768,2026-07-16 06:53:01
sinan/intoxicacao_exogena.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",112273661,2581927,2026-07-16 08:23:45
sinan/leishmaniose_tegumentar_americana.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",19038513,549711,2026-07-16 07:03:10
sinan/leishmaniose_visceral.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",7945984,203957,2026-07-16 07:00:36
sinan/leptospirose.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",21579627,417174,2026-07-16 06:58:00
sinan/ler_dort.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",324053,7632,2026-07-16 07:33:08
sinan/ler_dort_detalhado.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",5898302,160663,2026-07-16 07:33:57
sinan/malaria.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",2338878,68320,2026-07-16 06:55:30
sinan/meningite.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",34686636,519226,2026-07-16 07:06:43
sinan/notificacao_acidente_trabalho.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",608420,37521,2026-07-16 08:28:14
sinan/paralisia_flacida_aguda.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",1395145,10253,2026-07-16 08:11:44
sinan/perda_auditiva_indzuida_por_ruido.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",476908,11434,2026-07-16 07:34:17
sinan/peste.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",22289,158,2026-07-16 07:34:20
sinan/raiva_humana.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",160630,1725,2026-07-16 08:10:36
sinan/rotavirus.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",1286189,22257,2026-07-16 08:11:57
sinan/sifilis_adquirida.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",20628332,1538525,2026-07-16 06:42:00
sinan/sifilis_congenita.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",10090458,309824,2026-07-16 06:43:19
sinan/sifilis_em_gestante.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",13353180,707814,2026-07-16 06:44:51
sinan/sindrome_da_rubeola_congenita.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",174749,2147,2026-07-16 08:23:49
sinan/surto_doenca_transmitida_por_alimentos.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",965625,12254,2026-07-19 13:29:51
sinan/tetano_acidental.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",725813,11369,2026-07-16 07:08:05
sinan/tetano_neonatal.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",16860,17,2026-07-16 07:08:07
sinan/toxoplasmose_congenita.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",995149,36254,2026-07-16 08:11:11
sinan/toxoplasmose_gestacional.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",2563998,87469,2026-07-16 08:11:32
sinan/tracoma.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",1305758,181508,2026-07-16 08:10:32
sinan/transtorno_mental_relacionado_ao_trabalho.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",1335698,36223,2026-07-16 07:34:11
sinan/tuberculose.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",70629386,2301397,2026-07-16 06:13:43
sinan/varicela_grave.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",29073239,1489986,2026-07-16 08:28:04
sinan/violencia_interpessoal_autoprovocada.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",224178104,5335262,2026-07-16 06:39:46
sinan/zika.parquet,sinan,SINAN - Doenças e Agravos de Notificação Compulsória,"58 agravos (dengue, tuberculose, violência interpessoal, sífilis, AIDS/HIV, hanseníase e outros)",10740397,602541,2026-07-16 06:05:53
sinasc/declaracoes_de_nascido_vivo.parquet,sinasc,SINASC - Nascidos Vivos,"Declarações de Nascido Vivo, série histórica (inclui período antigo)",1825387017,84564003,2026-07-19 12:53:58
sinasc/declaracoes_de_nascido_vivo_exterior.parquet,sinasc,SINASC - Nascidos Vivos no Exterior (DNEX),"Brasileiros nascidos no exterior, registrados no sistema (arquivo final separado, não pertence a nenhuma UF).",459398,10348,2026-07-14 09:10:16
